base_id,k,sigma,repeat,rmsd_global,rmsd_local,min_dist,dE_pred,chosen_indices
350,1,0.01,0,0.0028879529019608485,0.01237573325483465,2.6047808374740704,-0.0024184882640838623,8
350,1,0.01,1,0.006757600814949184,0.028374270898905693,2.5819000075428633,-0.021557867527008057,19
350,1,0.01,2,0.0018024935734867707,0.007736783886011079,2.60478083747407,-0.0006916821002960205,9
350,1,0.01,3,0.002698488581569267,0.011249380642405028,2.5963784417368716,-0.005036056041717529,18
350,1,0.01,4,0.006745327538412997,0.02923704894976715,2.6047808374740704,-0.034287869930267334,6
350,1,0.01,5,0.005781252585155989,0.02408460288631948,2.587741330869691,-0.009670019149780273,19
350,1,0.01,6,0.005203050729844049,0.022469958491594905,2.6047808374740704,-0.0008561015129089355,2
350,1,0.01,7,0.0033048226276748307,0.01412983190965024,2.60478083747407,0.011432170867919922,11
350,1,0.01,8,0.0006741821155756788,0.0029301767753206216,2.60478083747407,0.004203140735626221,18
350,1,0.01,9,0.0021569008408777253,0.008984780760915344,2.602114344075642,0.0033176541328430176,18
350,1,0.01,10,0.0028529030009381336,0.012359836331702177,2.6047808374740704,-0.0026490092277526855,1
350,1,0.01,11,0.002709411331716989,0.011630587352789852,2.6047808374740704,0.012083292007446289,15
350,1,0.01,12,0.007428714956909724,0.032196450349985306,2.585713573694186,0.016263902187347412,6
350,1,0.01,13,0.0074567274654356525,0.031027828337073696,2.594914781547821,0.010097384452819824,16
350,1,0.01,14,0.005577976519009883,0.023692302978917248,2.6047808374740704,0.0019742250442504883,9
350,1,0.01,15,0.004592259599610387,0.01945821408357158,2.60478083747407,0.0193403959274292,19
350,1,0.01,16,0.003994081857086739,0.016590971468365176,2.5974949075357254,0.0009500980377197266,17
350,1,0.01,17,0.0012118939113111428,0.005051961832257315,2.604138347322698,0.001849144697189331,19
350,1,0.01,18,0.0055210868632532975,0.023035411214405565,2.5880620024834657,-0.011575102806091309,19
350,1,0.01,19,0.0035683918170316747,0.015294146377961853,2.5901088986394134,-0.0032296180725097656,6
350,1,0.01,20,0.0009574717715099591,0.004140917512234904,2.6047808374740704,0.00012734532356262207,3
350,1,0.01,21,0.004412404154158849,0.019058773414857313,2.6047808374740704,-0.0013204216957092285,1
350,1,0.01,22,0.005572106911273692,0.023627396313191447,2.6047808374740704,0.005014300346374512,11
350,1,0.01,23,0.005186992865812933,0.021799102160314054,2.60478083747407,0.016311854124069214,17
350,1,0.01,24,0.005124792122880281,0.021955702524179926,2.594862260133545,0.008734434843063354,14
350,1,0.01,25,0.003120824045551723,0.013568590723972134,2.6047808374740704,0.003646641969680786,3
350,1,0.01,26,0.007870869307828472,0.033624648037834,2.573100629547355,-0.010188639163970947,12
350,1,0.01,27,0.004183132455603011,0.017737287414390044,2.60478083747407,0.008540868759155273,13
350,1,0.01,28,0.007561281119257066,0.03246627298631496,2.5744812039888965,-0.002189159393310547,9
350,1,0.01,29,0.0028718356193319482,0.012402744273113522,2.6047808374740704,0.00047147274017333984,2
350,1,0.01,30,0.004687266723536585,0.020247862103573575,2.60478083747407,0.0017355382442474365,1
350,1,0.01,31,0.004213927297896351,0.01816590582283578,2.6006668208463632,-0.025082558393478394,5
350,1,0.01,32,0.003846914218197813,0.01643985074649601,2.6047808374740704,0.014621436595916748,10
350,1,0.01,33,0.004447939713775987,0.01909871988699919,2.5996659661114725,-0.02407008409500122,14
350,1,0.01,34,0.004703074780174172,0.020126344183763526,2.595440479363367,-0.02727341651916504,6
350,1,0.01,35,0.00433300006295617,0.018667721167410677,2.5909065339097554,0.004746437072753906,5
350,1,0.01,36,0.004288605806175527,0.018610894113277508,2.6047808374740704,-0.0038224756717681885,0
350,1,0.01,37,0.006393092158304472,0.0271102787562084,2.583833898044868,-0.025567740201950073,10
350,1,0.01,38,0.004127871120618862,0.017686142308382127,2.5942581671740124,0.003705739974975586,10
350,1,0.01,39,0.005516892421698877,0.023582748251765092,2.60478083747407,0.0006201565265655518,7
350,1,0.01,40,0.004363477542170947,0.01848774130253354,2.6047808374740704,0.0178128182888031,18
350,1,0.01,41,0.005819008759604454,0.024415035629446587,2.583803137031241,-0.017989039421081543,17
350,1,0.01,42,0.00321365455685983,0.013990605744604437,2.60478083747407,0.004019707441329956,0
350,1,0.01,43,0.002407711386450459,0.01039240911421916,2.6047808374740704,-0.0021077394485473633,4
350,1,0.01,44,0.0077247743348918185,0.03217561189774773,2.599705037321672,0.01230400800704956,16
350,1,0.01,45,0.001739056062833785,0.007394716587570761,2.602608831628426,-0.0064809322357177734,13
350,1,0.01,46,0.003770207906145566,0.016027140224818326,2.6047232363192623,-0.007536739110946655,9
350,1,0.01,47,0.003716274132074733,0.016055323174977657,2.6047808374740704,0.0011945366859436035,1
350,1,0.01,48,0.001561964843793987,0.006677226551308028,2.6047808374740704,-0.003159850835800171,4
350,1,0.01,49,0.003579095003246645,0.01551815275491146,2.5974217124829724,0.011904597282409668,4
350,1,0.02,0,0.005121776328296005,0.021273799570510815,2.5940860920046296,0.0014776289463043213,18
350,1,0.02,1,0.003837854103295267,0.01627480790085898,2.59107161735117,-0.017376452684402466,8
350,1,0.02,2,0.007812265156659912,0.03312662179678886,2.58321108556607,-0.026295244693756104,9
350,1,0.02,3,0.007467993463819321,0.03246417421174607,2.5879041391245496,0.027821719646453857,15
350,1,0.02,4,0.010466362956817167,0.04546229646733835,2.6047808374740704,-0.025291025638580322,9
350,1,0.02,5,0.010891875763702194,0.04727396060038873,2.6047808374740704,-0.0076118409633636475,2
