k,sigma,count,MAE_abs,RMSE_abs,mean_abs,median_abs,slope_linear,R2_linear,slope_quadratic,R2_quadratic
1,0.01,50,0.008915678262710572,0.012227142134567727,0.008915678262710572,0.0050251781940460205,0.48738751501250066,0.19531389672131827,18.702534251910073,0.06839551896715401
1,0.02,50,0.01649429142475128,0.020820946814984802,0.01649429142475128,0.01455700397491455,0.5069918413020594,0.09548384878166505,11.730467174955093,-0.11737242429721761
1,0.03,50,0.028747222423553466,0.038424100997028504,0.028747222423553466,0.02270609140396118,0.5652630168227046,0.10320996984940112,5.903314843751913,-0.39440041866353637
1,0.05,50,0.04663646519184113,0.06043834784949933,0.04663646519184113,0.043064892292022705,0.5955062501117411,0.2713755307338207,5.397508510728211,0.16928774184266626
1,0.08,50,0.05545709669589996,0.07617258365014958,0.05545709669589996,0.03837323188781738,0.44979219344854965,0.21603110773823475,2.293243480316475,0.04045545293448438
2,0.01,50,0.015057857036590577,0.020102157011251533,0.015057857036590577,0.011071175336837769,0.9810716027567866,0.31205108216606503,46.2826213363992,0.3155044726321039
2,0.02,50,0.02131144344806671,0.029854320918722105,0.02131144344806671,0.015325888991355896,0.6566687079445841,0.16516247879395363,15.90772379381874,0.1916101995800975
2,0.03,50,0.04381440818309784,0.05333361074041162,0.04381440818309784,0.037864089012145996,0.8533281742285177,0.06174719716982524,14.079282370145329,-0.11686428389289327
2,0.05,50,0.06756165772676467,0.08629489114301131,0.06756165772676467,0.05326239764690399,0.8432106015425586,0.2616982485877568,8.136077036884215,0.23729043683828055
2,0.08,50,0.12984539419412613,0.18193304887442124,0.12984539419412613,0.10011284053325653,0.9758192891025439,0.29983782308793583,5.900144280907528,0.4908654529666182
4,0.01,50,0.0171362966299057,0.021783643369800088,0.0171362966299057,0.014908313751220703,1.040816418153502,0.11430055072515244,55.248047980090135,0.07920620851094395
4,0.02,50,0.04356741726398468,0.05234759365585388,0.04356741726398468,0.04087117314338684,1.2358013036252051,-0.05963303430489253,30.732761705577094,-0.31850244021631147
4,0.03,50,0.06223142683506012,0.07358149672750428,0.06223142683506012,0.05498842895030975,1.1458143889577026,-0.07235755829460544,19.356012182577643,-0.26968687030584304
4,0.05,50,0.1044810238480568,0.1329989568196277,0.1044810238480568,0.07963895797729492,1.2069962109730312,0.14288289963296708,12.444649636913521,0.18383667455696084
4,0.08,50,0.1935455918312073,0.23808503546598783,0.1935455918312073,0.1838875412940979,1.2785890263860396,0.0003716877131444418,7.520677744811675,-0.15666706103043193
8,0.01,50,0.031161484122276307,0.037244845366695596,0.031161484122276307,0.026717662811279297,1.772119139920214,-0.004685030067566487,95.61109829319008,-0.0816207938939808
8,0.02,50,0.059428253173828126,0.07675091450548063,0.059428253173828126,0.04942476749420166,1.7191111638587175,0.07868740813998931,46.082615999348164,0.08659267896498313
8,0.03,50,0.0841602236032486,0.11089534995009745,0.0841602236032486,0.07193118333816528,1.6314087520623741,0.04864000935698265,29.92808805189484,0.062394967991277195
8,0.05,50,0.16975357502698898,0.19636590818726068,0.16975357502698898,0.1683545783162117,1.9986576668365779,0.0025758804313055217,22.095697698092952,-0.11342765182767622
8,0.08,50,0.27547914057970047,0.341054217208659,0.27547914057970047,0.231082022190094,1.9080420416460901,-0.05235883644288397,12.552524008201763,-0.16773736748962653
